M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M   1237 N/A       00:15:24.57 -13:03:15.9  8.53    5.97     31.07   -14.37  --------  A8V          
M   1318 N/A       00:16:33.98 -13:24:14.0  7.15    7.65    -30.35   -28.73  --------  A8V          
M   2616 N/A       00:33:11.85 -46:57:06.4  7.47    3.52     35.72    -9.06  --------  A8V          
M   2911 N/A       00:36:52.25 -34:16:50.4 10.78    1.25     16.54   -23.12  --------  A8V          
M   5830 N/A       01:14:46.54 -17:14:23.3  8.52    7.67     13.67    -2.39  --------  A8V          
M   6664 N/A       01:25:30.92 -26:27:27.7  8.93    1.84     -5.40    -3.01  --------  A8V          
M   6897 N/A       01:28:47.90 -24:47:52.5  7.03   10.77     -6.62    -2.42  --------  A8V          
M   9112 N/A       01:57:24.26 -36:03:26.7  6.98    6.54     30.86    23.36  --------  A8V          
M   9235 N/A       01:58:44.71 -32:16:14.1  8.57    6.08     10.25    12.17  --------  A8V          
M  12164 N/A       02:36:47.11 -20:46:09.0  8.39    6.47      2.80     6.85  --------  A7/A8V+...   
M  14293 N/A       03:04:16.52 -07:36:03.0  5.26   23.22     65.43    17.41  --------  A8V          
M  14564 N/A       03:08:01.52 -31:38:24.9  8.20    2.93     23.60    18.54  --------  A8V          
M  15862 N/A       03:24:19.18 +49:13:16.4  9.00    1.18     18.23   -26.35  --------  A8V          
M  15963 N/A       03:25:34.34 -17:41:54.4  8.96    2.97     26.57     9.81  --------  A8V          
M  16910 N/A       03:37:36.06 -80:51:37.6  9.11    3.68     19.32     1.94 03375-8051 A8V          
M  17720 N/A       03:47:40.94 -69:53:19.6  7.44    7.65    -25.44     5.01  --------  A8V          
M  18328 N/A       03:55:06.46 -32:05:55.5  9.18    2.38      3.26     5.34  --------  A8V          
M  18547 N/A       03:58:03.15 +34:48:50.3  6.54   16.32     24.00   -33.24  --------  A8V          
