M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M   1030 N/A       00:12:50.24 +37:41:37.1  6.71    1.21      0.50    -2.74  --------  B2V          
M   2409 N/A       00:30:41.62 +62:21:14.3  7.39    2.05      2.58    -1.89  --------  B2V          
M   2860 N/A       00:36:15.46 +48:33:20.7  7.52    1.76      1.67    -6.06  --------  B2V          
M   7238 N/A       01:33:16.33 +60:38:01.5 11.25   -1.98     -1.60     0.66  --------  B2V          
M   8068 N/A       01:43:39.64 +50:41:19.4  4.01    4.55     24.08   -13.59  --------  B2Vpe        
M   8125 N/A       01:44:24.93 +60:37:14.2 10.66    0.63     -2.67     1.07  --------  B2V          
M   8980 N/A       01:55:42.85 +59:16:24.3  7.06    3.78      1.86    -1.71  --------  B2Vne        
M  10849 N/A       02:19:37.79 +52:33:40.9  7.19    2.52      9.16     4.67  --------  B2V          
M  16195 N/A       03:28:39.19 +62:29:34.7  8.31    2.46     -0.01    -1.05  --------  B2V:e        
M  16941 N/A       03:38:01.04 +55:10:15.0  7.66    2.78     -1.68    -4.47  --------  B2Vne        
M  17387 N/A       03:43:24.01 +34:06:58.4  7.51    2.09      4.83    -3.38  --------  B2Vp         
M  18111 N/A       03:52:18.96 +34:13:19.5  7.43    2.04      4.31    -4.93  --------  B2V          
M  19264 N/A       04:07:45.13 +51:27:10.0  7.65    2.21      2.11    -3.43  --------  B2V          
M  20922 N/A       04:29:06.93 -13:02:54.1  5.61    2.07      0.30    -0.95  --------  B2V:ne       
M  21602 N/A       04:38:15.23 +31:59:55.6  7.11    2.95      0.25    -8.66  --------  B2V          
M  22024 N/A       04:44:05.32 -08:30:12.8  5.78    2.43      4.44     1.51  --------  B2Ve         
M  23060 N/A       04:57:44.69 -14:13:54.9  6.15    3.28     -0.23   -12.22  --------  B2V          
M  23883 N/A       05:07:55.43 +21:42:17.3  5.84    3.16      1.75    -6.24 05079+2142 B2Ve         
M  24118 N/A       05:10:48.20 +41:00:10.4  8.23    3.09     -0.37    -3.54  --------  B2Vne        
M  24326 N/A       05:13:13.33 +40:11:36.6  7.38    0.28     -0.23    -3.65  --------  B2V:pe       
M  24618 N/A       05:16:48.26 -17:08:32.4  6.55    2.25      1.32     5.18  --------  B2V          
M  24898 N/A       05:20:11.41 +36:40:28.6  7.50    0.38     -2.07    -0.89  --------  B2V          
M  25410 N/A       05:26:05.72 +16:42:00.5  6.23    4.98      0.35    -5.07  --------  B2Vn         
M  25480 N/A       05:26:59.16 -02:21:38.3  6.62    3.29      1.15    -0.81  --------  B2V          
M  25493 N/A       05:27:08.30 +03:51:19.9  6.74    3.08      0.04    -0.75  --------  B2V          
M  25582 N/A       05:28:01.47 +01:17:53.7  6.41    2.81     -0.25     1.11  --------  B2V          
M  25751 N/A       05:29:54.77 +01:47:21.3  5.77    2.60      1.64    -0.34  --------  B2V          
M  25850 N/A       05:31:05.02 +03:21:11.7  7.98    1.21      2.82    -3.67  --------  B2V          
M  25869 N/A       05:31:20.89 -06:42:30.1  6.23    1.85      1.62     1.13  --------  B2V          
M  26000 N/A       05:32:57.08 -04:33:59.3  7.65    0.67      3.01    -1.69  --------  B2Vvar       
M  26098 N/A       05:33:57.59 +01:24:27.5  6.58    2.46      3.37    -0.07  --------  B2V          
M  26337 N/A       05:36:32.00 +34:10:47.2  9.14    0.46      0.19    -4.08  --------  B2V          
M  26354 N/A       05:36:42.30 +34:12:05.9  9.03    3.58      2.17    -3.96  --------  B2Ve         
M  26508 N/A       05:38:13.74 -01:10:09.0  6.84    2.08      0.09    -1.32  --------  B2V          
M  26785 N/A       05:41:22.40 -06:56:06.7  7.64    2.45      2.86    -0.29  --------  B2V          
M  27881 N/A       05:53:59.85 +26:25:21.0  8.25   -0.18      2.27    -1.40  --------  B2V          
M  27965 N/A       05:54:56.69 +19:44:58.5  5.92    2.32      0.39    -4.14  --------  B2V          
M  28142 N/A       05:56:50.59 +16:21:18.2  7.22    3.52     -0.53    -3.33  --------  B2V          
M  28649 N/A       06:02:59.38 +28:40:37.3  7.57    0.47      2.91     0.30  --------  B2V          
M  28756 N/A       06:04:20.27 -32:10:20.7  5.65    3.01    -15.62   120.75 06043-3210 B2V          
M  29121 N/A       06:08:27.36 +13:55:51.0  8.77    1.52     -6.08    -2.37  --------  B2V          
M  29148 N/A       06:08:56.54 +24:21:35.4  8.18    0.74     -0.47    -3.15  --------  B2V          
M  29321 N/A       06:10:59.17 +11:59:41.4  7.46    1.68     -2.25    -2.71  --------  B2V          
M  29417 N/A       06:11:51.82 -06:33:01.0  5.06    2.71     -3.54    -1.83  --------  B2V          
M  29446 N/A       06:12:15.94 +10:20:00.2  7.49    2.89     -1.94    -3.77  --------  B2V          
M  29563 N/A       06:13:42.18 +08:42:44.5  8.09    1.29     -1.34    -2.48  --------  B2Ve         
M  30389 N/A       06:23:24.68 +15:06:06.4  8.00    2.51     -5.99    -5.80  --------  B2V:pe       
M  30772 N/A       06:27:57.57 -04:45:43.7  5.06    2.41     -4.23    -3.14 06279-0446 B2V          
M  30992 N/A       06:30:17.63 +02:50:52.3  8.85    1.35      0.44    -1.64  --------  B2Ve         
M  31066 N/A       06:31:09.56 +11:15:04.9  6.17    0.59      4.60    -2.53 06312+1115 B2V:nne      
M  31190 N/A       06:32:38.98 -32:01:49.5  5.73    3.89     -2.84     2.87 06326-3202 B2V          
M  31199 N/A       06:32:43.23 -07:30:32.2  8.00    0.63      0.05     2.66  --------  B2Vne        
M  31824 N/A       06:39:15.10 -31:50:08.1  7.69    1.21     -1.63     4.45 06393-3150 B2V          
M  31894 N/A       06:40:01.58 -04:41:55.4  8.72    1.33      2.76     0.25  --------  B2V:pe       
M  32030 N/A       06:41:27.31 +09:51:14.3  7.52    3.03     -1.82    -4.48 06415+0951 B2V...       
M  32292 N/A       06:44:28.47 -31:04:13.8  5.23    1.25     -3.04     6.24 06445-3104 B2V          
M  32302 N/A       06:44:38.52 +19:59:15.3  8.68    2.28     -0.89    -2.08  --------  B2V:         
M  32947 N/A       06:51:45.75 +05:05:03.8  6.91   -0.26     -0.40    -1.52  --------  B2Ve         
M  33119 N/A       06:53:52.17 -13:11:09.0  8.73    2.29     -1.15     0.61  --------  B2Vnne       
M  33267 N/A       06:55:13.65 +05:26:02.4  7.87    0.80     -1.31    -1.68  --------  B2Vne        
M  33300 N/A       06:55:37.20 +24:00:28.8  7.77    2.15     -1.02    -1.99  --------  B2V          
M  33309 N/A       06:55:42.84 -24:40:43.7  8.14    1.32     -4.97     3.52  --------  B2V(n)       
M  33523 N/A       06:58:02.12 -22:52:33.9  8.85    1.70     -3.87     5.26  --------  B2V          
M  33575 N/A       06:58:35.90 -25:24:50.9  5.59    3.13     -6.65     5.27 06586-2525 B2V          
M  33611 N/A       06:59:00.59 -26:28:27.9  7.17    2.05     -1.95     4.44 06590-2628 B2V          
M  33846 N/A       07:01:33.61 -27:13:22.5  6.95    1.41     -2.96     3.67  --------  B2V          
M  34360 N/A       07:07:22.59 -23:50:26.5  5.75    1.10     -2.55     5.11  --------  B2V:nn       
M  34395 N/A       07:07:52.92 -11:54:50.3  8.77    1.03     -6.34     1.55  --------  B2V          
M  34499 N/A       07:08:53.85 -11:30:05.3  8.75    0.29     -3.69     0.78  --------  B2V          
M  34519 N/A       07:09:08.66 -31:56:00.8  7.49    1.29     -4.90     6.64  --------  B2V          
M  34562 N/A       07:09:33.32 -28:26:40.5  8.26    0.37     -2.58     3.29  --------  B2V          
M  34579 N/A       07:09:43.03 -25:13:51.7  5.69    1.78     -4.94     3.95 07097-2514 B2V          
M  34852 N/A       07:12:45.48 -15:30:06.3  7.85    0.77     -2.81     0.75  --------  B2Vn(e)      
M  35083 N/A       07:15:21.07 -30:41:11.2  5.36    5.05    -13.01    11.43  --------  B2V          
M  35363 N/A       07:18:18.39 -36:44:02.2  4.65    3.85    -11.29     1.85 07184-3645 B2V+...      
M  35461 N/A       07:19:12.77 -24:57:20.5  6.82    1.81     -2.70     6.09 07192-2457 B2V          
M  35621 N/A       07:21:01.68 -50:51:15.2  7.31    2.02     -6.67     8.91  --------  B2V          
M  35933 N/A       07:24:27.65 +15:31:01.8  6.47    0.67     -1.48    -1.52  --------  B2Ve         
M  35951 N/A       07:24:40.19 -16:12:05.2  5.18    3.45     -4.65   -20.15  --------  B2Vne        
M  36096 N/A       07:26:11.15 -26:14:10.0  8.89   -0.49     -2.65     5.62  --------  B2V          
M  36250 N/A       07:27:51.01 -16:05:38.0  8.47    1.39     -1.80     0.24  --------  B2V:ne       
M  36404 N/A       07:29:27.97 -21:51:31.0  7.77    1.45     -5.03     4.33  --------  B2V:ne       
M  36778 N/A       07:33:51.04 -36:20:18.1  5.42    2.56     -8.59     4.11  --------  B2Vne        
M  37502 N/A       07:41:47.97 -56:18:54.5  7.04    2.29     -5.05     8.01  --------  B2V          
M  37784 N/A       07:44:52.76 -16:07:20.0  8.30    1.01     -3.87     2.68  --------  B2V          
M  37803 N/A       07:45:04.77 -37:53:16.3  6.53    3.54    -11.98     5.13  --------  B2V          
M  37995 N/A       07:47:12.56 -22:31:10.2  5.90    3.30     -7.61    10.34  --------  B1/B2V       
M  38455 N/A       07:52:38.64 -38:51:46.1  4.49    5.09     -9.49     4.02  --------  B2V          
M  38523 N/A       07:53:19.75 -03:02:31.1  9.30    2.73     -4.53     2.83  --------  B2Vn         
M  38593 N/A       07:54:11.01 -35:52:38.2  5.48    4.07     -3.88     3.41  --------  B2V          
M  38795 N/A       07:56:24.13 -40:44:10.2  6.78    2.57     -5.58     9.15  --------  B2V          
M  38855 N/A       07:57:04.00 +02:57:03.0  7.83    1.65     -3.22    -1.32  --------  B2V(ne)      
M  38979 N/A       07:58:34.87 +43:30:14.1  7.30    0.11     -2.13   -10.34  --------  B2V          
M  39013 N/A       07:59:00.73 -48:22:34.7  6.84    1.49     -6.62     4.11 07590-4823 B2V          
M  40321 N/A       08:13:58.31 -36:19:20.2  5.09    2.77     -8.66     7.89 08140-3620 B2V:         
M  40341 N/A       08:14:11.03 -32:08:26.5  6.07    2.07     -7.01     6.79 08142-3208 B2V          
M  41296 N/A       08:25:31.33 -51:43:38.6  5.18    4.84    -14.68    17.14 08255-5144 B2V          
M  41463 N/A       08:27:26.87 -14:56:06.7  6.68    3.04    -15.20     0.65  --------  B2V          
M  41501 N/A       08:27:50.48 -50:06:00.0  7.68    0.66     -5.49     7.30  --------  B2V:e        
M  42595 N/A       08:40:53.40 -48:13:31.8  6.95    1.59     -3.60     2.21  --------  B2V          
M  42738 N/A       08:42:34.84 -48:09:48.9  7.25    1.29     -3.74     2.94 08426-4810 B2V:         
M  46760 N/A       09:31:50.28 -72:28:06.1  7.72    1.10     -3.39    -1.74 09318-7228 B2V          
M  48128 N/A       09:48:44.48 -02:42:49.0  8.65   -0.51      6.06   -13.97  --------  B2V          
M  48527 N/A       09:53:50.10 -51:08:48.2  5.95    1.91    -13.68     0.55  --------  B2V          
M  49201 N/A       10:02:32.65 -48:51:43.4  7.58    2.72    -16.18    -0.08  --------  B2V          
M  50067 N/A       10:13:21.18 -61:39:31.7  6.42    3.19    -15.79     2.73  --------  B2V          
