M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M   4979 N/A       01:03:49.03 +01:22:00.6  6.06   17.66    122.42   -40.69  --------  F1V          
M  15244 N/A       03:16:35.77 -09:09:16.8  6.14   28.83      1.48    28.93  --------  F1V          
M  16455 N/A       03:31:58.72 +49:52:12.5  9.21    7.11     20.26   -28.46  --------  F1V          
M  18455 N/A       03:56:37.93 -09:45:03.0  6.18    9.41     51.10     5.43  --------  F1V          
M  19205 N/A       04:07:00.46 +29:00:04.6  5.21   36.26    -94.03     4.90  --------  F1V          
M  24952 N/A       05:20:39.53 +00:35:40.4  8.79    6.70     12.69     8.32  --------  F1V          
M  25457 N/A       05:26:41.12 -05:09:24.2  9.98    6.14      2.29    -3.38 05267-0509 F1Vn         
M  28103 N/A       05:56:24.30 -14:10:03.6  3.71   66.47    -42.23   139.02  --------  F1V          
M  32617 N/A       06:48:19.07 -01:19:08.1  5.75   24.95    -37.74   -34.33  --------  F1V          
M  38160 N/A       07:49:12.91 -60:17:01.2  5.78   28.62    -37.41   140.08 07492-6017 F1V          
M  39771 N/A       08:07:41.57 +41:48:01.7  9.58    2.94    -19.21   -40.33  --------  F1V          
M  51814 N/A       10:35:09.69 +57:04:57.5  5.16   37.80     65.65    37.11  --------  F1V          
M  54794 N/A       11:13:05.03 +46:13:23.0  8.17    9.44    -44.80    -6.39  --------  F1V          
M  55397 N/A       11:20:35.51 +62:21:51.0  8.00    9.45     -9.32   -33.68  --------  F1V          
M  59595 N/A       12:13:17.40 +51:18:44.1  9.30    2.37      5.89    10.69  --------  F1Vm         
M  69481 N/A       14:13:27.81 +51:47:16.3  6.62   16.66     64.58    -3.78 14135+5147 F1V          
M  71908 N/A       14:42:30.42 -64:58:30.5  3.18   60.97   -192.64  -234.07 14425-6459 F1Vp         
M  78594 N/A       16:02:49.49 -04:49:05.4  8.11   10.13    -38.99   -57.62  --------  F1V          
M  89401 N/A       18:14:41.00 +56:35:17.6  6.66    9.39    -15.78    24.72 18146+5635 F1V          
M  93743 N/A       19:05:18.57 -01:30:43.9  6.51   22.31    -15.89     9.47  --------  F1V          
M  95287 N/A       19:23:08.22 +14:55:15.7  6.65   12.18    -26.32     1.24  --------  F1V          
M 105739 N/A       21:25:00.36 +33:41:14.9  8.38    5.44     -2.19   -23.32  --------  F1V          
M 111278 N/A       22:32:35.49 +20:13:48.0  6.43   18.90    166.66    30.52  --------  F1V          
M 112252 N/A       22:44:09.65 +46:37:06.6  8.71    7.63     29.50   -27.61  --------  F1V          
M 116824 N/A       23:40:40.64 +36:43:14.8  6.24   22.63    234.51    23.57  --------  F1V          
