M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M    447 N/A       00:05:22.21 +08:47:16.0  8.26    1.69    259.85   -59.32  --------  G4V:p        
M    929 N/A       00:11:33.09 -58:54:35.4  8.34   17.00    270.70    -4.97  --------  G4V          
M   8398 N/A       01:48:20.58 -41:29:42.2  7.13   22.16    413.82   153.07  --------  G4V          
M  14286 N/A       03:04:09.64 +61:42:21.0  6.64   43.74    721.02  -693.41 03042+6142 G4V          
M  18719 N/A       04:00:39.54 +20:22:49.5  8.66   16.04    142.36   -76.67  --------  G4V          
M  19870 N/A       04:15:42.44 +20:49:11.2  7.83   19.48    111.21   -36.57  --------  G4V          
M  20441 N/A       04:22:44.78 +16:47:27.7  7.86   26.96    173.30     4.67  --------  G4V          
M  23221 N/A       04:59:50.45 -10:15:48.0  5.39   18.29     19.49  -136.75  --------  G4V          
M  23835 N/A       05:07:27.01 +18:38:42.1  4.91   63.02    536.05    18.51 05075+1839 G4V          
M  27253 N/A       05:46:34.91 +01:10:05.4  5.95   23.57    -80.05  -141.79  --------  G4V          
M  27435 N/A       05:48:34.94 -04:05:40.7  5.97   64.25     62.39  -230.65  --------  G4V          
M  29432 N/A       06:12:00.57 +06:46:59.0  6.85   43.26    196.42  -253.39  --------  G4V          
M  30104 N/A       06:20:06.14 -48:44:27.9  6.61   38.92    235.06  -267.26  --------  G4V          
M  30243 N/A       06:21:43.54 -00:32:20.8  7.63   24.33     -3.61  -156.66  --------  G4V          
M  34017 N/A       07:03:30.45 +29:20:13.4  5.93   52.37    155.73  -828.01  --------  G4V          
M  40118 N/A       08:11:38.64 +32:27:25.6  6.78   46.05   -460.69  -644.64 08117+3228 G4V          
M  41751 N/A       08:30:49.30 +02:16:26.5  9.33    4.11    -45.32     8.46  --------  G4V          
M  59532 N/A       12:12:28.84 -03:05:04.1  7.43   29.50   -607.65   419.57 12125-0305 G4V          
M  79967 N/A       16:19:20.86 -54:30:48.9  7.09   22.82    143.86   -98.37  --------  G4V          
M  99727 N/A       20:14:09.17 +06:34:37.9  8.01   15.19   -130.02   -61.72 20142+0635 G4V          
M 111517 N/A       22:35:38.17 +05:22:24.1  8.26   12.43    426.72  -207.06  --------  G4V          
M 115223 N/A       23:20:18.24 +06:52:20.6  7.95   11.51    -74.52    27.66  --------  G4V          
