M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M   1837 N/A       00:23:15.96 -33:10:03.1  8.74   44.97    -34.61   126.26  --------  K3/K4V       
M   4454 N/A       00:57:04.42 +69:02:36.4  9.12   41.45    715.26  -234.39  --------  K4V          
M   4643 N/A       00:59:36.82 -13:58:44.1 10.56   20.85    210.21    22.59  --------  K4V          
M   4649 N/A       00:59:44.43 -31:20:10.3  7.51    4.76     23.75    -1.52  --------  K4V          
M   5286 N/A       01:07:37.87 +22:57:17.9  8.41   48.20     99.08  -491.71  --------  K4V          
M   5663 N/A       01:12:46.13 -25:14:08.1  9.55   45.40    128.40    20.31  --------  K4V          
M   9507 N/A       02:02:18.85 +37:21:39.3  9.38    2.39     -7.23    -6.14  --------  K4V          
M  10925 N/A       02:20:42.93 -39:02:01.4  8.67   39.30    213.13   -26.87  --------  K3/K4V       
M  11852 N/A       02:32:58.93 -72:41:14.7  8.84   44.31    140.91   197.37  --------  K4V          
M  12436 N/A       02:40:03.19 -61:21:15.3  9.44   24.94     37.78  -183.33 02401-6121 K4V          
M  13869 N/A       02:58:37.38 +02:07:13.9  7.55    4.41      9.64   -25.49  --------  K4V          
M  15725 N/A       03:22:35.37 -30:11:18.8  9.28   32.99     52.47   235.32  --------  K4V          
M  16247 N/A       03:29:22.87 -24:06:03.1  9.15   31.55    220.65   100.37  --------  K4V          
M  17264 N/A       03:41:50.40 -62:46:01.4  9.73   25.57   -103.76   -43.58  --------  K4V          
M  18774 N/A       04:01:19.62 +76:09:33.7  8.20   62.57    332.05  -547.50  --------  K4V          
M  19333 N/A       04:08:35.72 -59:31:36.5  9.71   39.03    -83.22  -119.12  --------  K4V          
M  20563 N/A       04:24:16.94 +18:00:10.5  9.99   19.35    112.72   -33.20  --------  K4V          
M  20651 N/A       04:25:30.75 -17:11:00.1  8.24    4.68     -7.13    -6.21  --------  K4V          
M  21223 N/A       04:33:09.34 -36:56:45.7  8.74   39.93    -17.66    42.46  --------  K4V          
M  22907 N/A       04:55:41.92 -28:33:50.0  8.13   55.67    187.57  -227.55  --------  K3/K4V       
M  28442 N/A       06:00:19.54 -31:01:43.3  7.85   66.82   -378.63  1015.19 06003-3103 K3/K4V       
M  29009 N/A       06:07:17.13 -37:02:11.7  7.68    3.17      1.49   -15.58  --------  K3/K4V       
M  30979 N/A       06:30:07.30 -11:48:32.2  9.11   35.00   -155.86    79.13  --------  K4V          
M  36121 N/A       07:26:26.56 -15:46:13.1  9.21   38.92     46.50   -97.05  --------  K4V          
M  37139 N/A       07:37:53.49 -75:25:14.7  9.34   -1.41     -8.19     3.14  --------  K4V          
M  37284 N/A       07:39:21.85 -78:16:44.3  9.37   27.93    -20.65   -39.69  --------  K4V          
M  38117 N/A       07:48:39.57 +53:38:54.8  8.86   38.07   -124.85  -528.53 07487+5339 K4V          
M  39963 N/A       08:09:36.89 -40:17:00.6  8.87    1.54      4.29   -14.87  --------  K4V          
M  40671 N/A       08:18:10.78 +30:36:02.8  8.82   44.34   -281.96  -823.59  --------  K4V          
M  42079 N/A       08:34:36.00 -57:05:53.2  9.01    1.94     -7.55    17.60  --------  K3/K4V:      
M  42401 N/A       08:38:45.26 -13:15:24.0  9.67   29.73    -64.24    39.85  --------  K3/K4V       
